"myfiles","mean"
"ginppi.dt.4.p.0.87.L1.0.0028.L2.0.00028.n.5000.time.2016Jan03_063340.csv",21.0620349093797
"ginppi.dt.4.p.0.87.L1.0.0028.L2.0.00028.n.5000.time.2016Jan03_063718.csv",21.0045320208177
"ginppi.dt.4.p.0.87.L1.0.0029.L2.0.00029.n.5000.time.2016Jan03_064054.csv",20.7928297949492
"ginppi.dt.4.p.0.87.L1.0.003.L2.3e-04.n.5000.time.2016Jan03_064429.csv",20.2459066137208
"ginppi.dt.4.p.0.87.L1.0.0035.L2.0.00035.n.5000.time.2016Jan03_064807.csv",16.9959902429355
"ginppi.dt.4.p.0.87.L1.0.004.L2.4e-04.n.5000.time.2016Jan03_065147.csv",14.8091560262293
"ginppi.dt.4.p.0.87.L1.0.0045.L2.0.00045.n.5000.time.2016Jan03_065525.csv",13.2569653454461
"ginppi.dt.4.p.0.88.L1.0.002.L2.2e-04.n.5000.time.2016Jan03_051740.csv",29.3661422592145
"ginppi.dt.4.p.0.88.L1.0.0021.L2.0.00021.n.5000.time.2016Jan03_052115.csv",28.6101743940739
"ginppi.dt.4.p.0.88.L1.0.0022.L2.0.00022.n.5000.time.2016Jan03_052450.csv",27.0583634827691
"ginppi.dt.4.p.0.88.L1.0.0023.L2.0.00023.n.5000.time.2016Jan03_052826.csv",26.340418614913
"ginppi.dt.4.p.0.88.L1.0.0024.L2.0.00024.n.5000.time.2016Jan03_053204.csv",25.0567485780417
"ginppi.dt.4.p.0.88.L1.0.0025.L2.0.00025.n.5000.time.2016Jan03_053540.csv",24.3765232019898
"ginppi.dt.4.p.0.88.L1.0.0026.L2.0.00026.n.5000.time.2016Jan03_053917.csv",22.8301006500115
"ginppi.dt.4.p.0.88.L1.0.0028.L2.0.00028.n.5000.time.2016Jan03_054254.csv",21.444998775774
"ginppi.dt.4.p.0.88.L1.0.0028.L2.0.00028.n.5000.time.2016Jan03_054630.csv",21.0454748955926
"ginppi.dt.4.p.0.88.L1.0.0029.L2.0.00029.n.5000.time.2016Jan03_055006.csv",21.0672671721535
"ginppi.dt.4.p.0.88.L1.0.003.L2.3e-04.n.5000.time.2016Jan03_055342.csv",20.0666023244415
"ginppi.dt.4.p.0.88.L1.0.0035.L2.0.00035.n.5000.time.2016Jan03_055719.csv",17.1712995374268
"ginppi.dt.4.p.0.88.L1.0.004.L2.4e-04.n.5000.time.2016Jan03_060055.csv",15.1343725228407
"ginppi.dt.4.p.0.88.L1.0.0045.L2.0.00045.n.5000.time.2016Jan03_060430.csv",13.3830143211728
"ginppi.dt.4.p.0.89.L1.0.002.L2.2e-04.n.5000.time.2016Jan03_042656.csv",30.9551953025952
"ginppi.dt.4.p.0.89.L1.0.0021.L2.0.00021.n.5000.time.2016Jan03_043034.csv",29.1390979423711
"ginppi.dt.4.p.0.89.L1.0.0022.L2.0.00022.n.5000.time.2016Jan03_043410.csv",28.0928713172114
"ginppi.dt.4.p.0.89.L1.0.0023.L2.0.00023.n.5000.time.2016Jan03_043749.csv",26.5093896093937
"ginppi.dt.4.p.0.89.L1.0.0024.L2.0.00024.n.5000.time.2016Jan03_044126.csv",25.1172808069847
"ginppi.dt.4.p.0.89.L1.0.0025.L2.0.00025.n.5000.time.2016Jan03_044508.csv",24.6188917877509
"ginppi.dt.4.p.0.89.L1.0.0026.L2.0.00026.n.5000.time.2016Jan03_044844.csv",23.444542431481
"ginppi.dt.4.p.0.89.L1.0.0028.L2.0.00028.n.5000.time.2016Jan03_045220.csv",21.5589243558484
"ginppi.dt.4.p.0.89.L1.0.0028.L2.0.00028.n.5000.time.2016Jan03_045556.csv",21.1849412176584
"ginppi.dt.4.p.0.89.L1.0.0029.L2.0.00029.n.5000.time.2016Jan03_045933.csv",20.9507951871907
"ginppi.dt.4.p.0.89.L1.0.003.L2.3e-04.n.5000.time.2016Jan03_050310.csv",20.2628048640679
